樹種,区分,樹高(m),枝張(m),幹周(cm）,行政区,種別,整理番号,路線名,通称道路名,経度,緯度
ヤマボウシ,高木,3.5,1.5,25,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.7119924,35.72267135
モチノキ,高木,4,2,16,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.7122356,35.72261076
トウカエデ,高木,7,3.5,89,練馬区,主要地方道,318,環状七号線,環七通り,139.6628217,35.73525131
トキワマンサク,中木,1.8,,,練馬区,主要地方道,311,環状八号線,環八通り,139.6277311,35.7442385
カツラ,高木,5,2,69,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6314512,35.74329037
ニワトコ,高木,3,1.1,15,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.7122534,35.72261981
サクラ,高木,12,12,187,練馬区,特例都道,439,椎名町石神井線,仙川通り,139.6779668,35.73139054
カツラ,高木,6,2.5,88,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6321346,35.74312627
カラタネオガタマ,中木,2.1,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6321112,35.74313839
カラタネオガタマ,中木,2.1,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6321048,35.74314164
トキワマンサク,中木,1.7,,,練馬区,主要地方道,311,環状八号線,環八通り,139.6277564,35.74425537
イチョウ,高木,10,1.5,95,練馬区,特例都道,443,南田中町旭町線,笹目通り,139.6174294,35.74691259
サクラ,高木,6,4.5,74,豊島区,特例都道,439,椎名町石神井線,仙川通り,139.6781112,35.73138619
スズカケノキ,高木,10,4,150,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6313103,35.74336496
カラタネオガタマ,中木,2.1,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6312845,35.743377
カラタネオガタマ,中木,2.1,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6312789,35.74337912
スズカケノキ,高木,10,4.56,120,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.631264,35.74338737
サクラ,高木,12,12,180,練馬区,特例都道,439,椎名町石神井線,仙川通り,139.6779005,35.73145424
カラタネオガタマ,中木,1.2,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6319837,35.74320939
カラタネオガタマ,中木,1.2,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6319837,35.74320939
カラタネオガタマ,中木,1.2,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6319762,35.74321301
トウカエデ,高木,7.5,4.5,90,練馬区,主要地方道,318,環状七号線,環七通り,139.6628828,35.73530684
ハナモモ,中木,2.7,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6312216,35.74340988
ヤマボウシ,高木,3.6,1.5,21,練馬区,主要地方道,311,環状八号線,環八通り,139.6278065,35.74428669
スズカケノキ,高木,8,2.5,98,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6319184,35.74323884
常緑ヤマボウシ,高木,3.5,1.5,24,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6311977,35.74342376
サクラ,高木,9,10,123,豊島区,特例都道,439,椎名町石神井線,仙川通り,139.6780689,35.73143337
トキワマンサク,中木,1.8,,,練馬区,主要地方道,311,環状八号線,環八通り,139.6278377,35.74430649
カラタネオガタマ,中木,2.2,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6311046,35.74347152
カラタネオガタマ,中木,2.2,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6310971,35.74347521
カツラ,高木,5,2,50,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6310871,35.74348006
スズカケノキ,高木,7.5,3,87,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6318127,35.74329492
ハナモモ,中木,2.5,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6310574,35.74349612
ハナモモ,中木,2.5,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6317784,35.74331228
ヤマボウシ,高木,4.5,1.5,21,練馬区,特例都道,443,南田中町旭町線,笹目通り,139.6177203,35.7469139
ハナモモ,中木,2.4,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6310227,35.74351394
スズカケノキ,高木,9,3,112,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6317523,35.74332738
常緑ヤマボウシ,高木,3.5,2,20,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6309975,35.74352723
トキワマンサク,中木,1.7,,,練馬区,主要地方道,311,環状八号線,環八通り,139.6278728,35.74432956
トウカエデ,高木,9.5,4.5,91,練馬区,主要地方道,318,環状七号線,環七通り,139.663274,35.73527064
カラタネオガタマ,中木,2.2,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6309756,35.74354017
カラタネオガタマ,中木,2.2,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6309691,35.74354386
セイヨウシナノキ,高木,4,2,36,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.7121198,35.72279917
トウカエデ,高木,9,5,117,練馬区,主要地方道,318,環状七号線,環七通り,139.6629587,35.73537378
ムクゲ,中木,2,,,豊島区,特例都道,439,椎名町石神井線,仙川通り,139.6779647,35.73153859
スズカケノキ,高木,9,4,87,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6308815,35.74358788
サクラ,高木,5.5,9,72,豊島区,特例都道,439,椎名町石神井線,仙川通り,139.6779602,35.73154159
ヤマボウシ,高木,3,1.5,24,練馬区,主要地方道,311,環状八号線,環八通り,139.6279061,35.74435121
サクラ,高木,13,16,228,練馬区,特例都道,439,椎名町石神井線,仙川通り,139.6777546,35.73159659
カラタネオガタマ,中木,1.8,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6308434,35.74360824
カラタネオガタマ,中木,1.8,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6308434,35.74360824
カラタネオガタマ,中木,1.8,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6308348,35.74361239
スズカケノキ,高木,9,5,85,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6308204,35.74361941
イチョウ,高木,5,1.5,38,練馬区,特例都道,443,南田中町旭町線,笹目通り,139.6177548,35.74697094
ハナモモ,中木,2.4,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6308069,35.74363033
スズカケノキ,高木,10.5,3,106,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6315117,35.74345424
カラタネオガタマ,中木,1.8,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6307651,35.74364928
カラタネオガタマ,中木,1.8,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6307573,35.74365253
スズカケノキ,高木,10.5,5,100,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6307397,35.74366439
トウカエデ,高木,9,4.5,69,練馬区,主要地方道,318,環状七号線,環七通り,139.6633387,35.7353287
スズカケノキ,高木,8,3,107,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6314259,35.74349819
スズカケノキ,高木,10,3,121,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6313901,35.74351667
スズカケノキ,高木,10.5,5,112,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6306603,35.74370676
トウカエデ,高木,10.5,5,133,練馬区,主要地方道,318,環状七号線,環七通り,139.6630204,35.73542651
サクラ,高木,12,16,220,練馬区,特例都道,439,椎名町石神井線,仙川通り,139.6776858,35.73167917
ヤマボウシ,高木,4,1.5,21,練馬区,特例都道,443,南田中町旭町線,笹目通り,139.6177761,35.74701274
カラタネオガタマ,中木,2.3,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6305783,35.74374535
サクラ,高木,5,3,42,練馬区,特例都道,439,椎名町石神井線,仙川通り,139.6776641,35.73169708
スズカケノキ,高木,7,2.5,108,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6313125,35.74355919
カラタネオガタマ,中木,2.3,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6305635,35.74375245
ハナモモ,中木,2.7,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.631291,35.74356872
セイヨウシナノキ,高木,4,1.5,34,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.712068,35.72290437
カラタネオガタマ,中木,2.4,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6312747,35.74357681
カラタネオガタマ,中木,2.4,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6312695,35.74357955
カツラ,高木,6,2.5,50,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6305372,35.74376712
ハナモモ,中木,2.3,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6312191,35.74360686
マンサク,中木,1.8,0.5,16,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.7120601,35.72292516
カラタネオガタマ,中木,2.3,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6311953,35.74361799
カラタネオガタマ,中木,2.3,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.631186,35.743623
トウカエデ,高木,10,5.5,128,練馬区,主要地方道,318,環状七号線,環七通り,139.6633956,35.73538033
スズカケノキ,高木,8,3.5,104,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6311719,35.74363116
サクラ,高木,12.5,15,214,練馬区,特例都道,439,椎名町石神井線,仙川通り,139.6776182,35.73175197
サクラ,高木,11,12,183,豊島区,特例都道,439,椎名町石神井線,仙川通り,139.6778032,35.73170776
サザンカ,中木,2.5,1.5,35,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.7117948,35.72301868
ムクゲ,中木,1.6,,,練馬区,特例都道,439,椎名町石神井線,仙川通り,139.6776091,35.73176426
サザンカ,中木,2.5,0.5,20,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.7117766,35.7230264
ヤマボウシ,高木,4,1,21,練馬区,特例都道,443,南田中町旭町線,笹目通り,139.6178038,35.74707153
ヤマボウシ,高木,3.5,2.5,21,練馬区,主要地方道,318,環状七号線,環七通り,139.6630841,35.73548386
キンモクセイ,高木,4,2.5,55,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.7117674,35.72303792
カラタネオガタマ,中木,2.4,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6310631,35.74368841
カツラ,高木,6.5,2.5,94,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6303285,35.74387787
カラタネオガタマ,中木,2.4,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6310551,35.74369278
カラタネオガタマ,中木,2,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6303144,35.74388449
サザンカ,中木,2,1.5,42,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.7117577,35.72305226
カツラ,高木,6,2.5,56,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6310207,35.74371064
ハナモモ,中木,2.3,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6302796,35.74390294
サクラ,高木,12,15,207,練馬区,特例都道,439,椎名町石神井線,仙川通り,139.6775255,35.73181913
スズカケノキ,高木,8.5,5,90,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.630246,35.74391837
カラタネオガタマ,中木,2.1,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6302191,35.74393395
サクラ,高木,7,6,122,豊島区,特例都道,439,椎名町石神井線,仙川通り,139.6777309,35.73177679
カラタネオガタマ,中木,2.1,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6302113,35.74393947
ヤマボウシ,高木,4.5,2.5,20,練馬区,主要地方道,318,環状七号線,環七通り,139.663128,35.73552052
サクラ,高木,6.5,6.5,78,練馬区,特例都道,439,椎名町石神井線,仙川通り,139.6775118,35.7318448
セイヨウシナノキ,高木,4,1.5,39,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.7120221,35.7230198
トウカエデ,高木,9.5,3.5,86,練馬区,主要地方道,318,環状七号線,環七通り,139.6634642,35.73544204
トチノキ,高木,6,2,104,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6308551,35.74379531
マンサク,中木,1.8,1,14,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.7120122,35.72303877
サクラ,高木,7,2.5,39,練馬区,特例都道,439,椎名町石神井線,仙川通り,139.6776843,35.73182277
スズカケノキ,高木,9,5,78,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6300814,35.74401085
イチョウ,高木,11,1.5,100,練馬区,特例都道,443,南田中町旭町線,笹目通り,139.6175161,35.74723007
ヤマボウシ,高木,4.5,2.5,19,練馬区,主要地方道,318,環状七号線,環七通り,139.6631626,35.73555443
ヤマボウシ,高木,5.5,1.5,40,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.7117942,35.72312321
カツラ,高木,4,1.5,39,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6307069,35.74387264
スズカケノキ,高木,8.5,3,98,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6306824,35.74388497
スズカケノキ,高木,8.5,3,100,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6299761,35.74406631
セイヨウシナノキ,高木,3.5,2,39,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.7119902,35.72312202
スズカケノキ,高木,8,3,98,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6305225,35.74397225
カラタネオガタマ,中木,2,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6305019,35.74397997
トウカエデ,高木,10.5,6,108,練馬区,主要地方道,318,環状七号線,環七通り,139.6635531,35.73552286
マンサク,中木,1.6,1,12,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.7119735,35.72313863
カラタネオガタマ,中木,2,,,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6304936,35.74398476
スズカケノキ,高木,7.5,3,75,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6304787,35.74399391
ヤマボウシ,高木,4,1.5,36,練馬区,主要地方道,311,環状八号線,環八通り,139.628627,35.74447652
トチノキ,高木,6.5,2,72,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6296963,35.74421038
ヤマボウシ,高木,2.2,1,20,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.7119593,35.72317147
サクラ,高木,13,21,270,練馬区,特例都道,439,椎名町石神井線,仙川通り,139.6773072,35.73205623
トウカエデ,高木,10.5,4.5,93,練馬区,主要地方道,318,環状七号線,環七通り,139.6632766,35.73565845
キンモクセイ,中木,2.2,1,20,豊島区,主要地方道,317,環状六号線,山手通り,139.6965774,35.72714065
セイヨウシナノキ,高木,3.2,2,51,豊島区,主要地方道,305,芝新宿王子線,明治通り,139.7119349,35.72321348
トチノキ,高木,3.5,2,97,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6295193,35.7442993
キンモクセイ,中木,2.8,1.5,48,豊島区,主要地方道,317,環状六号線,山手通り,139.6965542,35.72714783
キンモクセイ,中木,2.2,1,24,豊島区,主要地方道,317,環状六号線,山手通り,139.6965907,35.72713867
キンモクセイ,中木,2.2,1.5,28,豊島区,主要地方道,317,環状六号線,山手通り,139.6965671,35.7271455
キンモクセイ,中木,2.8,1.5,38,豊島区,主要地方道,317,環状六号線,山手通り,139.6965404,35.7271566
ツバキ,中木,1.8,,,練馬区,特例都道,439,椎名町石神井線,仙川通り,139.6772809,35.7320831
キンモクセイ,中木,2.5,1.2,49,豊島区,主要地方道,317,環状六号線,山手通り,139.6965646,35.72715148
キンモクセイ,中木,2.5,1.5,35,豊島区,主要地方道,317,環状六号線,山手通り,139.6965556,35.72715391
キンモクセイ,中木,1.3,0.5,10,豊島区,主要地方道,317,環状六号線,山手通り,139.696604,35.7271417
キンモクセイ,中木,2.5,1.2,35,豊島区,主要地方道,317,環状六号線,山手通り,139.6965877,35.72714764
トウカエデ,高木,8,5,84,練馬区,主要地方道,318,環状七号線,環七通り,139.6636207,35.73558318
スズカケノキ,高木,8.5,4,118,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.6294789,35.74432306
ムクノキ,高木,10,8,238,豊島区,主要地方道,317,環状六号線,山手通り,139.696571,35.7271616
カツラ,高木,5,2.5,56,練馬区,主要地方道,8,千代田練馬田無線,目白通り,139.630167,35.74415477
